legume,77
lemon,695
leopard,52
lettuce,776
license_plate,16103
life_buoy,979
life_jacket,4404
light_bulb,30844
light_switch,86
lighthouse,465
lily,67
lime,102
limousine,249
lion,336
lip_balm,6
lipstick,1786
liquor,9
lizard,383
lobster,35
locker,274
log,9860
lollipop,7
loveseat,3
luggage_and_bags,151436
lynx,3
magazine,446
magnet,9149
magpie_(bird),38
mailbox_(at_home),79
mammal,126727
man,737299
mandarin_orange,13
manger,60
mango,9
manhole,2027
map,111
maple,1558
marine_invertebrates,5119
marine_mammal,4766
marker,369
mascot,30
mashed_potato,1
mask,3234
mast,3070
mat_(gym_equipment),898
mattress,86
measuring_cup,52
meatball,7
medical_equipment,666
medicine,61
melon,135
microphone,63360
microwave_oven,6612
milk,115
milk_can,3
miniskirt,59
minivan,1824
mirror,40440
missile,111
mitten,173
mixer_(kitchenware),815
mixing_bowl,128
money,131
monitor_(computer_equipment),26952
monkey,761
mop,13
moths_and_butterflies,2161
motor,1889
motor_scooter,940
motor_vehicle,206781
motorcycle,32280
mound_(baseball),34
mouse,63
mouse_(computer_equipment),9237
mousepad,222
muffin,142
mug,5884
mule,201
mushroom,760
musical_instrument,87404
musical_keyboard_(musical_instrument),3446
nail,206
napkin,4396
necklace,87046
needle,16
nest,142
newspaper,3800
newsstand,90
nightshirt,23
nightstand,158
noseband_(for_animals),12
notebook,368
notepad,206
oar,2048
oboe_(musical_instrument),54
office_building,2428
office_supplies,88414
oil_lamp,21
onion,679
orange,3385
orange_juice,205
organ_(musical_instrument),277
ostrich,151
otter,108
ottoman,111
oven,4914
overalls_(clothing),753
owl_(bird),663
oyster,76
pacifier,197
packet,4
pad,925
paddle,1613
padlock,974
paintbrush,7
painting,14666
pajamas,113
palette,154
palm_tree,7633
pan_(for_cooking),962
pancake,25
panda,371
papaya,1
paper_plate,581
paper_towel,799
parachute,15259
parakeet,31
parasail_(sports),1942
parasol,459
parka,828
parking_meter,8064
parrot_(bird),461
passenger_car_(part_of_a_train),111
passenger_ship,125
pasta,136
pastry,13750
patty_(food),16
pea_(food),61
peach,9
pear,57
pelican,43
pen,3957
pencil,950
pendulum,8
penguin,909
pennant,248
penny_(coin),6
pepper,10
pepper_mill,156
perfume,102
persimmon,1
person,1758615
personal_care,1037
pew_(church_bench),409
phonebook,20
phonograph_record,398
piano_(musical_instrument),5779
pickle,107
pickup_truck,1426
picnic_basket,167
picture_frame,22008
pie,30
pig,345
pigeon_(bird),780
pillow,8740
pin_(non_jewelry),1161
pineapple,188
pinecone,144
pinwheel,5
pipe,20362
pitcher_(vessel_for_liquid),893
pizza,4348
place_mat,437
plant,445609
plastic_bag,8382
plate,5480
platter,120
pliers,33
plumbing_fixture,32051
plume,22
pocket_watch,36
pocketknife,1
poker_(fire_stirring_tool),5
polar_bear,500
pole,31081
polo_shirt,2833
pomegranate,3
pool_table,632
pop_(soda),133
popcorn,148
porch,451
porcupine,15
postbox_(public),250
postcard,149
poster,109635
pot,2222
potato,268
potholder,43
pottery,91
pouch,177
power_plugs_and_wall_sockets,9006
power_shovel,85
pretzel,21
printer,1720
projectile_(weapon),185
projector,123
propeller,2584
puffin,13
pumpkin,1038
puncher,4
punching_bag,223
puppet,2
puppy,26
rabbit,293
raccoon,18
racket,13136
radar,57
radiator,1147
radio_receiver,464
radish,33
raft,1
railcar_(part_of_a_train),162
raincoat,448
ram_(animal),10
raspberry,163
ratchet,8
rays_and_skates,610
razorblade,76
reamer_(juicer),2
rearview_mirror,11021
receipt,37
record_player,2
red_panda,11
reflector,42049
refrigerator,17747
remote_control,32596
reptile,2790
rhinoceros,120
rifle,826
ring,26337
robe,616
rocket,703
rocking_chair,129
rodent,277
roller_skates,49121
rollerblade,836
rolling_pin,115
rose,2815
router_(computer_equipment),2
rubber_band,766
rugby_ball,34
ruler,503
runner_(carpet),6
saddle_(on_an_animal),559
saddle_blanket,511
saddlebag,69
sail,3898
salad,506
salami,16
salt_and_pepper_shakers,751
sandal_(type_of_shoe),8946
sandwich,2352
saucer,646
sausage,55
saxophone_(musical_instrument),809
scale_(measuring_instrument),94
scarf,22333
school_bus,160
scissors,15202
scoreboard,1837
scorpion,17
screwdriver,90
scrubbing_brush,48
sculpture,19741
sea_lion,157
sea_turtle,398
seabird,2377
seafood,476
seahorse,146
seashell,194
seat_belt,94
segway,132
sewing_machine,327
shampoo,648
shark,703
shaver_(electric),1
shaving_cream,80
shears,6
sheep,7250
shelf,4840
shellfish,384
shield,73
shirt,74952
shoe,28898
shopping_bag,1142
shopping_cart,167
short_pants,41926
shotgun,46
shoulder_bag,4
shovel,130
shower,637
shower_curtain,4608
shrimp,193
signboard,30188
silo,371
sink,8695
skateboard,47495
skewer,5
ski,26445
ski_boot,17250
ski_parka,828
ski_pole,14890
skirt,32585
skull,2562
skunk,1
skyscraper,12868
sled,407
sleeping_bag,6
slide,480
slipper_(footwear),305
slow_cooker,33
smoothie,8
snack,2116
snail,39
snake,578
snowboard,25223
snowman,198
snowmobile,937
snowplow,77
soap,292
soap_dispenser,18
soccer_ball,1877
sock,21320
sofa_bed,383
solar_array,186
sombrero,169
soup,112
sparkler_(fireworks),7
sparrow_(bird),135
spatula,241
speaker_(stero_equipment),13900
spice_rack,3
spider,117
sponge,213
spoon,6068
sports_equipment,373374
sports_uniform,1846
spotlight,742
squash_(vegetable),1151
squid,11
squirrel,247
stairs,4106
stapler,53
starfish,149
stationary_bicycle,28
statue_(sculpture),16148
steering_wheel,7925
step_stool,18
